Day;ID;Employees
2025-12-01;19;Mitsotakis Kiriakos
2025-12-01;2;Stavropoulou Maria
2025-12-02;38;Michopoulos Nikos
2025-12-02;36;Mitzias Tasos
2025-12-03;22;Claus Santa
2025-12-03;8;Riglis Chris
2025-12-04;37;Kapernaros Manos
2025-12-04;25;Mathers Marshal
2025-12-05;29;Mary Hail
2025-12-05;7;Tasoulas Aggelos
2025-12-06;24;Bryant Kobe
2025-12-06;10;Kormalis Nikos
2025-12-07;6;Psimenos Evangelos
2025-12-07;39;duck donald
2025-12-08;4;Garofalakis Manolis
2025-12-08;5;Psimenos Georgios
2025-12-09;34;Cooper Bradley
2025-12-09;26;Kent Kostas
2025-12-10;9;Tasoula Nikoleta
2025-12-10;18;Tsoukalas Kwstas
2025-12-11;12;Nikolaidis Konstantinos
2025-12-11;2;Stavropoulou Maria
2025-12-12;38;Michopoulos Nikos
2025-12-12;19;Mitsotakis Kiriakos
2025-12-13;22;Claus Santa
2025-12-13;8;Riglis Chris
2025-12-14;37;Kapernaros Manos
2025-12-14;25;Mathers Marshal
2025-12-15;29;Mary Hail
2025-12-15;7;Tasoulas Aggelos
2025-12-16;24;Bryant Kobe
2025-12-16;10;Kormalis Nikos
2025-12-17;36;Mitzias Tasos
2025-12-17;39;duck donald
2025-12-18;4;Garofalakis Manolis
2025-12-18;5;Psimenos Georgios
2025-12-19;26;Kent Kostas
2025-12-19;6;Psimenos Evangelos
2025-12-20;34;Cooper Bradley
2025-12-20;18;Tsoukalas Kwstas
2025-12-21;12;Nikolaidis Konstantinos
2025-12-21;9;Tasoula Nikoleta
2025-12-22;19;Mitsotakis Kiriakos
2025-12-22;2;Stavropoulou Maria
2025-12-23;22;Claus Santa
2025-12-23;8;Riglis Chris
2025-12-24;37;Kapernaros Manos
2025-12-24;38;Michopoulos Nikos
2025-12-25;29;Mary Hail
2025-12-25;25;Mathers Marshal
2025-12-26;24;Bryant Kobe
2025-12-26;10;Kormalis Nikos
2025-12-27;36;Mitzias Tasos
2025-12-27;7;Tasoulas Aggelos
2025-12-28;4;Garofalakis Manolis
2025-12-28;5;Psimenos Georgios
2025-12-29;6;Psimenos Evangelos
2025-12-29;39;duck donald
2025-12-30;26;Kent Kostas
2025-12-30;18;Tsoukalas Kwstas
2025-12-31;12;Nikolaidis Konstantinos
2025-12-31;9;Tasoula Nikoleta
